    1 1     Riversde   1   1             -1000010000.-5.   15.               
    4 1     NwCarlsl   1   1             -1000010000.-300. 300.              
    6 1     Kankakee   1   1             -1000010000.-13.  50.               
    8 1     Olive      1   1             -1000010000.-300. 300.              
   10 1     Breed      1   1             -1000010000.-147. 200.              
   12 1     TwinBrch   1   1             -1000010000.-35.  120.              
   15 1     FtWayne    1   1             -1000010000.-10.  30.               
   18 1     McKinley   1   1             -1000010000.-16.  50.               
   19 1     Lincoln    1   1             -1000010000.-8.   24.               
   24 1     Trenton    1   1             -1000010000.-300. 300.              
   25 1     TannrsCk   1   1             -1000010000.-47.  140.              
   26 1     TannrsCk   1   1             -1000010000.-1000.1000.             
   27 1     Madison    1   1             -1000010000.-300. 300.              
   31 1     DeerCrk    1   1             -1000010000.-300. 300.              
   32 1     Delaware   1   1             -1000010000.-14.  42.               
   34 1     Rockhill   1   1             -1000010000.-8.   24.               
   36 1     Sterling   1   1             -1000010000.-8.   24.               
   40 1     West End   1   1             -1000010000.-300. 300.              
   42 1     Howard     1   1             -1000010000.-300. 300.              
   46 1     W.Lancst   1   1             -1000010000.-100. 100.              
   49 1     Philo      1   1             -1000010000.-85.  210.              
   54 1     Torrey     1   1             -1000010000.-300. 300.              
   55 1     Wagenhls   1   1             -1000010000.-8.   23.               
   56 1     Sunnysde   1   1             -1000010000.-8.   15.               
   59 1     Tidd       1   1             -1000010000.-60.  180.              
   61 1     W.Kammer   1   1             -1000010000.-100. 300.              
   62 1     Natrium    1   1             -1000010000.-20.  20.               
   65 1     Muskngum   1   1             -1000010000.-67.  200.              
   66 1     Muskngum   1   1             -1000010000.-67.  200.              
   69 1     Sporn      1   1             -1000010000.-300. 300.              
   70 1     Portsmth   1   1             -1000010000.-10.  32.               
   72 1     Hillsbro   1   1             -1000010000.-100. 100.              
   73 1     Sargents   1   1             -1000010000.-100. 100.              
   74 1     Bellefnt   1   1             -1000010000.-6.   9.                
   76 1     Darrah     1   1             -1000010000.-8.   23.               
   77 1     Turner     1   1             -1000010000.-20.  70.               
   80 1     CabinCrk   1   1             -1000010000.-165. 280.              
   85 1     BeaverCk   1   1             -1000010000.-8.   23.               
   87 1     Pinevlle   1   1             -1000010000.-100. 1000.             
   89 1     ClinchRv   1   1             -1000010000.-210. 300.              
   90 1     Holston    1   1             -1000010000.-300. 300.              
   91 1     HolstonT   1   1             -1000010000.-100. 100.              
   92 1     Saltvlle   1   1             -1000010000.-3.   9.                
   99 1     Hinton     1   1             -1000010000.-100. 100.              
  100 1     Glen Lyn   1   1             -1000010000.-50.  155.              
  103 1     Claytor    1   1             -1000010000.-15.  40.               
  104 1     Hancock    1   1             -1000010000.-8.   23.               
  105 1     Roanoke    1   1             -1000010000.-8.   23.               
  107 1     Reusens    1   1             -1000010000.-200. 200.              
  110 1     Fieldale   1   1             -1000010000.-8.   23.               
  111 1     DanRiver   1   1             -1000010000.-100. 1000.             
  112 1     Danville   1   1             -1000010000.-100. 1000.             
  113 1     Deer Crk   1   1             -1000010000.-100. 200.              
  116 1     KygerCrk   1   1             -1000010000.-1000.1000.             
999999
